Sample in Buffer,Sample in Window,TRIGGER,ram_wr_en,ram_wr_we,ram_rd_en,rd_flag,ram_wr_addr[5:0],ram_wr_data[7:0],ram_rd_addr[5:0],ram_rd_data[7:0]
347,347,0,1,1,1,1,58,58,26,25
348,348,0,1,1,1,1,59,59,27,26
349,349,0,1,1,1,1,60,60,28,27
350,350,0,1,1,1,1,61,61,29,28
351,351,0,1,1,1,1,62,62,30,29
352,352,0,1,1,1,1,63,63,31,30
353,353,0,1,1,1,1,0,0,32,31
354,354,0,1,1,1,1,1,1,33,32
355,355,0,1,1,1,1,2,2,34,33
356,356,0,1,1,1,1,3,3,35,34
357,357,0,1,1,1,1,4,4,36,35
358,358,0,1,1,1,1,5,5,37,36
359,359,0,1,1,1,1,6,6,38,37
360,360,0,1,1,1,1,7,7,39,38
361,361,0,1,1,1,1,8,8,40,39
362,362,0,1,1,1,1,9,9,41,40
363,363,0,1,1,1,1,10,10,42,41
364,364,0,1,1,1,1,11,11,43,42
365,365,0,1,1,1,1,12,12,44,43
366,366,0,1,1,1,1,13,13,45,44
367,367,0,1,1,1,1,14,14,46,45
368,368,0,1,1,1,1,15,15,47,46
369,369,0,1,1,1,1,16,16,48,47
370,370,0,1,1,1,1,17,17,49,48
371,371,0,1,1,1,1,18,18,50,49
372,372,0,1,1,1,1,19,19,51,50
373,373,0,1,1,1,1,20,20,52,51
374,374,0,1,1,1,1,21,21,53,52
375,375,0,1,1,1,1,22,22,54,53
376,376,0,1,1,1,1,23,23,55,54
377,377,0,1,1,1,1,24,24,56,55
378,378,0,1,1,1,1,25,25,57,56
379,379,0,1,1,1,1,26,26,58,57
380,380,0,1,1,1,1,27,27,59,58
381,381,0,1,1,1,1,28,28,60,59
382,382,0,1,1,1,1,29,29,61,60
383,383,0,1,1,1,1,30,30,62,61
384,384,0,1,1,1,1,31,31,63,62
385,385,0,1,1,1,1,32,32,0,63
386,386,0,1,1,1,1,33,33,1,0
387,387,0,1,1,1,1,34,34,2,1
388,388,0,1,1,1,1,35,35,3,2
389,389,0,1,1,1,1,36,36,4,3
390,390,0,1,1,1,1,37,37,5,4
391,391,0,1,1,1,1,38,38,6,5
392,392,0,1,1,1,1,39,39,7,6
393,393,0,1,1,1,1,40,40,8,7
394,394,0,1,1,1,1,41,41,9,8
395,395,0,1,1,1,1,42,42,10,9
396,396,0,1,1,1,1,43,43,11,10
397,397,0,1,1,1,1,44,44,12,11
398,398,0,1,1,1,1,45,45,13,12
399,399,0,1,1,1,1,46,46,14,13
400,400,0,1,1,1,1,47,47,15,14
401,401,0,1,1,1,1,48,48,16,15
402,402,0,1,1,1,1,49,49,17,16
403,403,0,1,1,1,1,50,50,18,17
404,404,0,1,1,1,1,51,51,19,18
405,405,0,1,1,1,1,52,52,20,19
406,406,0,1,1,1,1,53,53,21,20
407,407,0,1,1,1,1,54,54,22,21
408,408,0,1,1,1,1,55,55,23,22
409,409,0,1,1,1,1,56,56,24,23
410,410,0,1,1,1,1,57,57,25,24
411,411,0,1,1,1,1,58,58,26,25
412,412,0,1,1,1,1,59,59,27,26
413,413,0,1,1,1,1,60,60,28,27
414,414,0,1,1,1,1,61,61,29,28
415,415,0,1,1,1,1,62,62,30,29
